"","00:00:00","00:05:00","00:10:00","00:15:00","00:20:00","00:25:00","00:30:00","00:35:00","00:40:00","00:45:00","00:50:00","00:55:00","01:00:00","01:05:00","01:10:00","01:15:00","01:20:00","01:25:00","01:30:00","01:35:00","01:40:00","01:45:00","01:50:00","01:55:00","02:00:00","02:05:00","02:10:00","02:15:00","02:20:00","02:25:00","02:30:00","02:35:00","02:40:00","02:45:00","02:50:00","02:55:00","03:00:00","03:05:00","03:10:00","03:15:00","03:20:00","03:25:00","03:30:00","03:35:00","03:40:00","03:45:00","03:50:00","03:55:00","04:00:00","04:05:00","04:10:00","04:15:00","04:20:00","04:25:00","04:30:00","04:35:00","04:40:00","04:45:00","04:50:00","04:55:00","05:00:00","05:05:00","05:10:00","05:15:00","05:20:00","05:25:00","05:30:00","05:35:00","05:40:00","05:45:00","05:50:00","05:55:00","06:00:00","06:05:00","06:10:00","06:15:00","06:20:00","06:25:00","06:30:00","06:35:00","06:40:00","06:45:00","06:50:00","06:55:00","07:00:00","07:05:00","07:10:00","07:15:00","07:20:00","07:25:00","07:30:00","07:35:00","07:40:00","07:45:00","07:50:00","07:55:00","08:00:00","08:05:00","08:10:00","08:15:00","08:20:00","08:25:00","08:30:00","08:35:00","08:40:00","08:45:00","08:50:00","08:55:00","09:00:00","09:05:00","09:10:00","09:15:00","09:20:00","09:25:00","09:30:00","09:35:00","09:40:00","09:45:00","09:50:00","09:55:00","10:00:00","10:05:00","10:10:00","10:15:00","10:20:00","10:25:00","10:30:00","10:35:00","10:40:00","10:45:00","10:50:00","10:55:00","11:00:00","11:05:00","11:10:00","11:15:00","11:20:00","11:25:00","11:30:00","11:35:00","11:40:00","11:45:00","11:50:00","11:55:00","12:00:00","12:05:00","12:10:00","12:15:00","12:20:00","12:25:00"
"time","00:00:00","00:05:00","00:10:00","00:15:00","00:20:00","00:25:00","00:30:00","00:35:00","00:40:00","00:45:00","00:50:00","00:55:00","01:00:00","01:05:00","01:10:00","01:15:00","01:20:00","01:25:00","01:30:00","01:35:00","01:40:00","01:45:00","01:50:00","01:55:00","02:00:00","02:05:00","02:10:00","02:15:00","02:20:00","02:25:00","02:30:00","02:35:00","02:40:00","02:45:00","02:50:00","02:55:00","03:00:00","03:05:00","03:10:00","03:15:00","03:20:00","03:25:00","03:30:00","03:35:00","03:40:00","03:45:00","03:50:00","03:55:00","04:00:00","04:05:00","04:10:00","04:15:00","04:20:00","04:25:00","04:30:00","04:35:00","04:40:00","04:45:00","04:50:00","04:55:00","05:00:00","05:05:00","05:10:00","05:15:00","05:20:00","05:25:00","05:30:00","05:35:00","05:40:00","05:45:00","05:50:00","05:55:00","06:00:00","06:05:00","06:10:00","06:15:00","06:20:00","06:25:00","06:30:00","06:35:00","06:40:00","06:45:00","06:50:00","06:55:00","07:00:00","07:05:00","07:10:00","07:15:00","07:20:00","07:25:00","07:30:00","07:35:00","07:40:00","07:45:00","07:50:00","07:55:00","08:00:00","08:05:00","08:10:00","08:15:00","08:20:00","08:25:00","08:30:00","08:35:00","08:40:00","08:45:00","08:50:00","08:55:00","09:00:00","09:05:00","09:10:00","09:15:00","09:20:00","09:25:00","09:30:00","09:35:00","09:40:00","09:45:00","09:50:00","09:55:00","10:00:00","10:05:00","10:10:00","10:15:00","10:20:00","10:25:00","10:30:00","10:35:00","10:40:00","10:45:00","10:50:00","10:55:00","11:00:00","11:05:00","11:10:00","11:15:00","11:20:00","11:25:00","11:30:00","11:35:00","11:40:00","11:45:00","11:50:00","11:55:00","12:00:00","12:05:00","12:10:00","12:15:00","12:20:00","12:25:00"
"hour","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","11","11","11","12","12","12","12","12","12"
"minute","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25"
"second","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380nm","735","0","0","0","0","313","734","0","0","0","0","0","50","0","0","0","0","0","0","0","0","859","0","407","0","947","529","0","827","909","0","28","0","450","0","0","0","0","0","990","359","0","0","231","0","0","0","0","548","0","0","896","758","44","0","0","0","0","0","0","0","714","763","880","0","624","827","0","621","0","0","500","0","0","0","414","0","512","0","513","964","919","756","0","757","0","0","542","603","571","0","0","0","924","0","0","3","0","870","720","614","731","213","210","633","547","418","143","908","674","677","189","505","10","161","982","592","755","960","0","737","171","923","486","537","160","228","723","977","211","752","346","831","80","676","530","466","236","389","973","98","674","151","423","2","114","357","350","484","287"
"400nm","0","0","0","0","0","153","0","0","0","0","0","0","0","0","601","776","0","0","782","354","29","0","595","0","126","0","501","457","0","0","0","0","0","751","550","0","341","0","0","0","252","329","481","0","0","398","0","0","892","0","0","463","0","490","373","0","517","0","0","486","0","0","445","0","425","849","857","114","0","75","389","353","66","174","0","0","608","0","478","0","0","311","854","944","0","79","192","978","538","0","0","78","881","807","395","891","573","278","544","100","881","198","553","0","0","0","493","991","0","0","861","998","299","144","0","887","197","401","776","240","250","78","905","696","774","868","73","875","780","615","626","53","530","8","840","399","926","536","454","533","292","248","89","586","630","548","552","850","633","358"
"420nm","0","0","0","0","264","0","953","0","0","0","21","0","0","972","0","827","0","0","0","818","474","0","597","803","535","0","0","0","626","0","658","448","804","0","59","0","0","0","929","0","0","0","775","652","524","0","0","913","0","319","765","0","376","150","809","741","153","249","242","916","320","669","0","843","664","146","106","0","383","0","830","0","669","0","397","97","808","709","77","546","296","0","0","263","714","328","714","917","997","897","753","831","290","677","973","130","164","466","636","921","19","371","10","947","510","833","413","105","40","4","724","17","196","817","337","698","890","388","962","37","624","720","787","259","513","53","236","456","931","878","208","84","766","839","234","176","918","195","639","504","650","770","538","364","520","208","627","330","146","144"
"450nm","312","667","0","0","0","0","0","0","54","45","0","0","0","0","0","0","0","0","327","0","719","0","0","0","0","0","0","0","0","0","375","0","0","0","214","390","0","0","961","849","0","249","0","857","711","0","951","136","960","6","0","383","0","0","0","33","0","296","290","939","0","0","0","497","372","716","614","216","78","732","0","0","0","0","0","0","0","0","978","118","286","0","216","849","13","0","242","0","0","765","127","861","533","878","572","884","0","0","0","0","928","271","227","475","380","799","458","695","748","647","153","721","758","103","693","713","48","294","903","271","865","697","579","363","627","458","339","274","64","66","788","127","48","340","226","111","787","654","639","242","914","415","85","23","420","918","629","139","560","996"
"530nm","0","237","0","0","0","0","0","397","0","0","995","570","0","0","0","0","761","0","0","0","0","118","0","0","0","591","0","197","208","0","0","458","253","0","0","0","864","365","871","438","0","0","0","985","0","0","458","570","0","0","0","0","0","0","810","0","968","0","0","617","306","564","279","669","785","0","0","448","921","690","686","456","44","294","371","0","140","389","0","0","191","801","686","318","0","311","590","0","957","452","144","0","275","321","328","993","0","272","0","887","41","53","0","197","536","460","514","107","686","340","368","780","188","326","556","0","795","694","0","401","387","134","506","307","155","301","785","15","490","367","462","567","738","364","753","901","559","924","278","555","834","945","930","650","113","92","39","164","101","260"
"620nm","0","0","837","384","0","0","0","0","480","0","0","0","0","0","32","0","0","457","0","0","0","0","972","0","0","0","857","0","0","550","0","0","0","731","0","0","542","0","0","0","614","478","0","0","606","720","895","0","911","113","956","746","94","0","0","0","410","0","0","0","674","970","0","0","984","0","0","273","0","296","261","47","0","447","479","609","0","475","0","613","0","254","385","848","825","212","257","595","9","174","650","563","986","0","872","674","144","883","275","626","0","0","236","176","813","594","0","615","352","846","744","0","158","511","84","555","0","0","717","673","89","725","863","133","711","717","977","306","63","591","144","430","302","340","3","685","390","852","358","32","399","55","908","27","401","710","183","409","845","131"
"660nm","0","0","0","0","999","0","0","268","0","244","0","401","816","663","0","0","0","377","0","0","0","43","0","0","0","0","0","46","0","246","957","0","921","0","0","538","0","719","0","0","141","246","866","0","861","149","865","0","0","520","345","0","138","0","418","670","0","986","111","0","892","452","737","0","0","693","0","232","0","593","0","15","375","320","410","193","250","287","265","0","10","671","503","121","450","924","972","826","0","444","988","435","890","373","779","0","375","848","271","0","963","157","857","382","758","772","796","481","240","119","23","82","124","0","523","789","939","359","596","432","739","972","374","392","763","62","312","79","177","875","608","331","703","938","550","781","437","888","379","156","345","339","453","546","459","71","844","739","124","807"
"735nm","0","0","876","23","0","0","0","0","0","0","0","0","0","0","0","0","273","0","0","0","0","0","0","162","67","591","0","0","0","0","0","0","0","0","0","284","0","354","0","0","0","0","959","0","0","947","0","323","0","0","993","0","0","178","0","334","0","64","711","0","890","0","422","751","0","0","242","0","720","0","609","0","378","392","774","62","341","0","809","408","917","486","0","0","300","844","0","551","110","0","644","326","0","0","0","515","363","423","93","75","490","424","556","693","537","63","871","0","144","93","0","745","0","805","174","460","59","605","514","434","341","61","405","525","674","773","631","7","880","457","842","520","850","912","78","513","186","766","101","596","171","663","629","820","170","378","735","8","637","813"
"5700k","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
